date,count(全国),count(全国除湖北),count(湖北除武汉),count(武汉)
2020-03-11,80932,13151,17795,49986
2020-03-12,80954,13168,17795,49991
2020-03-13,80973,13183,17795,49995
2020-03-14,80995,13201,17795,49999
2020-03-15,81020,13222,17795,50003
2020-03-16,81063,13264,17795,50004
2020-03-17,81086,13286,17795,50005
2020-03-18,81130,13330,17795,50005
2020-03-19,81229,13429,17795,50005
2020-03-20,81281,13481,17795,50005
2020-03-21,81346,13546,17795,50005
2020-03-22,81484,13684,17795,50005
2020-03-23,81553,13752,17795,50006
2020-03-24,81631,13830,17795,50006
2020-03-25,81733,13932,17795,50006
2020-03-26,81827,14026,17795,50006
2020-03-27,81946,14145,17795,50006
2020-03-28,82059,14258,17795,50006
2020-03-29,82157,14356,17795,50006
2020-03-30,82241,14440,17795,50006
2020-03-31,82295,14494,17795,50006
2020-04-01,82395,14594,17795,50006
2020-04-02,82465,14664,17795,50006
2020-04-03,82527,14725,17795,50007
2020-04-04,82575,14773,17795,50007
2020-04-05,82642,14839,17795,50008
2020-04-06,82698,14895,17795,50008
2020-04-07,82784,14981,17795,50008
2020-04-08,82870,15067,17795,50008
2020-04-09,82925,15122,17795,50008
2020-04-10,83004,15201,17795,50008
2020-04-11,83097,15294,17795,50008
2020-04-12,83209,15406,17795,50008
2020-04-13,83303,15500,17795,50008
2020-04-14,83352,15549,17795,50008
2020-04-15,83402,15599,17795,50008
2020-04-16,83754,15951,17795,50008
2020-04-17,83785,15657,17795,50333
2020-04-18,83803,15675,17795,50333
2020-04-19,83817,15689,17795,50333
2020-04-20,83849,15721,17795,50333
2020-04-21,83864,15736,17795,50333
2020-04-22,83876,15748,17795,50333
2020-04-23,83884,15756,17795,50333
2020-04-24,83899,15771,17795,50333
2020-04-25,83909,15781,17795,50333
2020-04-26,83912,15784,17795,50333
2020-04-27,83938,15810,17795,50333
2020-04-28,83940,15812,17795,50333
2020-04-29,83944,15816,17795,50333
2020-04-30,83956,15828,17795,50333
2020-05-01,83959,15831,17795,50333
2020-05-02,83961,15833,17795,50333
2020-05-03,83964,15836,17795,50333
2020-05-04,83966,15838,17795,50333
2020-05-05,83968,15840,17795,50333
2020-05-06,83970,15842,17795,50333
2020-05-07,83976,15848,17795,50333
2020-05-08,83976,15848,17795,50333
2020-05-09,83991,15862,17795,50334
2020-05-10,84010,15876,17795,50339
2020-05-11,84011,15877,17795,50339
2020-05-12,84018,15884,17795,50339
2020-05-13,84024,15890,17795,50339
2020-05-14,84029,15895,17795,50339
2020-05-15,84038,15904,17795,50339
2020-05-16,84044,15910,17795,50339
2020-05-17,84054,15920,17795,50339
2020-05-18,84063,15928,17795,50340
2020-05-19,84065,15930,17795,50340
2020-05-20,84067,15932,17795,50340
2020-05-21,84079,15944,17795,50340
2020-05-22,84081,15946,17795,50340
2020-05-23,84084,15949,17795,50340
2020-05-24,84095,15960,17795,50340
2020-05-25,84102,15967,17795,50340
2020-05-26,84103,15968,17795,50340
2020-05-27,84106,15971,17795,50340
2020-05-28,84106,15971,17795,50340
2020-05-29,84123,15988,17795,50340
2020-05-30,84128,15993,17795,50340
2020-05-31,84147,16012,17795,50340
2020-06-01,84154,16019,17795,50340
2020-06-02,84159,16024,17795,50340
2020-06-03,84160,16025,17795,50340
2020-06-04,84171,16036,17795,50340
2020-06-05,84177,16042,17795,50340
2020-06-06,84186,16051,17795,50340
2020-06-07,84191,16056,17795,50340
2020-06-08,84194,16059,17795,50340
2020-06-09,84198,16063,17795,50340
2020-06-10,84209,16074,17795,50340
2020-06-11,84216,16081,17795,50340
2020-06-12,84228,16093,17795,50340
2020-06-13,84288,16153,17795,50340
2020-06-14,84335,16200,17795,50340
2020-06-15,84378,16243,17795,50340
2020-06-16,84422,16287,17795,50340
2020-06-17,84458,16323,17795,50340
2020-06-18,84494,16359,17795,50340
2020-06-19,84524,16389,17795,50340
2020-06-20,84553,16418,17795,50340
2020-06-21,84572,16437,17795,50340
2020-06-22,84624,16489,17795,50340
2020-06-23,84653,16518,17795,50340
2020-06-24,84673,16538,17795,50340
2020-06-25,84701,16566,17795,50340
2020-06-26,84725,16590,17795,50340
2020-06-27,84743,16608,17795,50340
2020-06-28,84757,16622,17795,50340
2020-06-29,84780,16645,17795,50340
2020-06-30,84785,16650,17795,50340
2020-07-01,84816,16681,17795,50340
2020-07-02,84830,16695,17795,50340
2020-07-03,84839,16704,17795,50340
2020-07-04,84857,16722,17795,50340
2020-07-05,84871,16736,17795,50340
2020-07-06,84896,16761,17795,50340
2020-07-07,84917,16782,17795,50340
2020-07-08,84950,16815,17795,50340
2020-07-09,84996,16861,17795,50340
2020-07-10,85036,16901,17795,50340
2020-07-11,85071,16936,17795,50340
2020-07-12,85117,16982,17795,50340
2020-07-13,85172,17037,17795,50340
2020-07-14,85226,17091,17795,50340
2020-07-15,85246,17111,17795,50340
2020-07-16,85323,17188,17795,50340
2020-07-17,85403,17268,17795,50340
2020-07-18,85483,17348,17795,50340
2020-07-19,85613,17478,17795,50340
2020-07-20,85697,17562,17795,50340
2020-07-21,85771,17636,17795,50340
2020-07-22,85906,17771,17795,50340
2020-07-23,86045,17910,17795,50340
2020-07-24,86202,18067,17795,50340
2020-07-25,86381,18246,17795,50340
2020-07-26,86570,18435,17795,50340
2020-07-27,86783,18648,17795,50340
2020-07-28,86990,18855,17795,50340
2020-07-29,87213,19078,17795,50340
2020-07-30,87489,19354,17795,50340
2020-07-31,87655,19520,17795,50340
2020-08-01,87827,19689,17798,50340
2020-08-02,87985,19847,17798,50340
2020-08-03,88099,19961,17798,50340
2020-08-04,88206,20068,17798,50340
2020-08-05,88328,20190,17798,50340
2020-08-06,88460,20322,17798,50340
2020-08-07,88580,20441,17799,50340
2020-08-08,88672,20533,17799,50340
2020-08-09,88793,20654,17799,50340
2020-08-10,88906,20767,17799,50340
2020-08-11,88964,20825,17799,50340
2020-08-12,89045,20906,17799,50340